id,title,date,rating,text
R2OMA8CHVALO6Q,Even The Best Camera Won't Work Without Better Software & Hardcore Hardware,"Reviewed in the United States on September 20, 2018",1.0 out of 5 stars,"
  I've had several GoPros (a half dozen over the years), and I'm a early-adopter of consumer 360 video. This camera was specifically purchased to replace my Samsung Gear 360 which easily produces 360 video, but has sub-par video quality. Given that the GoPro Omni runs about $1,400, the GoPro Fusion is a steal at less than half that cost."
R3W3JCMV8YE5BQ,"So far impressed, but the complete lack of easily found documentation makes it difficult for the uninspired.","Reviewed in the United States on February 27, 2018",4.0 out of 5 stars,"
  I will update this review in a few days, there are a couple of statements I need to state.  First, the documentation is completely void from this camera.  If you don't have the appetite for ""figuring it out"" then don't bother.  GoPro, you can do better in sending a simple 10 page quick start guide, I know all the materials are in the video but...  I first did not know where the buttons were, I finally figured that out, then by accident paired with the phone and from there things became easier.  The software at first glance looks fine, of course I will figure out more once I start using it more heavily."
RYFUBELV4SJC2,Awesome 5.2K Spherical Videos; not so awesome software.,"Reviewed in the United States on March 6, 2018",4.0 out of 5 stars,"
  I'll start by saying that the Fusion delivers really clean 5.2 K spherical video and it's really fun to shoot with. Using the free Fusion Studio app on Mac (haven't tried the Windows version), you can render out very nice video images with gimbal-like stabilization. It's the best stabilization I've ever seen on a 360 camera. Even with walking and micro vibrations, the hardware/software combination yields buttery-smooth movement. Using the Fusion is like having 2 GoPro Heros strapped back to back, and the Fusion Studio software allows you to do what GoPro calls ""overcapture"" which is to say you can do 16:9 HD or 4:3 cutouts from any part of the 360 sphere. But to be clear, you don't need Fusion Studio to do 16:9 cutouts. This can easily be done in Final Cut Pro X or Premiere by putting the equirectangular clips into a standard 1080 timeline, then adjusting the orientation of the sphere. The footage cuts perfectly into a project with other GoPro aquired1080 footage. Now the not-so-good news. The app itself is really, really slow to stitch. I have an iMac Pro 8 Core and 12 minutes of video took 8 hours to render!! Fortunately, I use another Pro stitching software, and it only took 1 hour for the same footage. So GoPro has to improve how the app is using the CPU. Assuming your clips are relatively short and you're patient, (let the clips render overnight) the camera is truly the best 360 camera I've used (and I've used a lot of them).
"
R2ZJ8QUCPR12WL,"BEWARE, DO NOT BUY!","Reviewed in the United States on March 18, 2019",1.0 out of 5 stars,"
  You will be disappointed with the video quality, and further frustrated by the GoPro software which in theory helps you import the file. This product is not ready for showtime!
"
R2DR439DERUUXJ,Best 360 camera for under $1000,"Reviewed in the United States on June 18, 2018",5.0 out of 5 stars,"
  Produces best stitching and video quality and stabilization out of all 360 cams under $1000"
RKTKGSOPH6CX7,Not worth the money!,"Reviewed in the United States on October 14, 2018",1.0 out of 5 stars,"
  May shoot 360 video but cant do anything with it afterwards.  Software sucks!  Wish I could return it for a refund!!
"
R2EWTH6VJV5452,Doesn't work with its own softwarep- makes it extremely difficult to use,"Reviewed in the United States on December 8, 2018",2.0 out of 5 stars,"
  The camera seems to take excellent 360 photos, and short videos as far as I can see from my mobile gopro app. But the big caveat is that the desktop software, Fusion Studio, that you are supposed to use to unload all of the massive images and videos to your desktop simply does not work.  Trying to connect my camera to my mac has taken hours, and it still isn't working.  It is NOT simple plug and play.  This is clearly a known issue due to the number of times the connectivity problem appears in online gopro help forums, but there is simply no substantive help that works anywhere.  This is extremely frustrating - you spend time taking videos and you rely on the camera, and you cannot unload the footage without popping the cards out and unloading those - that is a much more complex method than on a normal gopro  or other digital camera. Very very frustrating for such an expensive camera.
"
R1CHM6F48JFQR7,"Looks Great, shoots in night and day","Reviewed in the United States on July 10, 2018",5.0 out of 5 stars,"
  The iPhone app is buggy, but you don't need it, it's a 360, think about your placement of the camera and shoot.  The images are night and day over my Insta360 Nano, as it can shoot in night and day too.  The Fusion software running on a 2010 Mac Pro 5.1, is so far rock steady doing almost 100 clips.  My Mac Pro is a basic Intel cheese grater model with 24GB RAM and a Sapphire 580 8GB GPU.  The render time is approx 11 minutes to render 1 minute of 5.2k Cineform.  I do own DaVinci Resolve Studio 15 (the paid one, you can buy a Resolve Dongle on an auction site for cheap).  The Cineform 5.2k files playback a little choppy on editing, but not enough of a problem to edit with."
R3DWR1T6PKSOQB,Its a 360 Camera for the Beginner 360 Maker,"Reviewed in the United States on September 21, 2019",4.0 out of 5 stars,"
  Alright, let's get the camera information out of the way: First of all, yes it does record 360. It goes underwater just fine, and I've used it in pools, at the beach, and everywhere. However, the design of the software is something to be desired."
R3PGQAOSX49Y5Q,Absolutely Love it!,"Reviewed in the United States on April 26, 2020",5.0 out of 5 stars,"
  So, I chose this particular camera instead of the MAX for a few reasons. The first one, the price was right. The second one, it shoots RAW photos, which the newer GoPro VR Camera doesn't (at least not as of this review)."
R1YZLMR3009F66,Contento con mi nueva cámara,"Reviewed in the United States on September 5, 2019",3.0 out of 5 stars,"
  Es un producto excelente, es económico para colombia, ya que comprarlo dentro del país excede su valor. NO TRAE LA MEMORIA SAND DISK
"
R3BZ7Z5UZNH137,Understand the workflow and fall in love with this product,"Reviewed in the United States on May 20, 2019",5.0 out of 5 stars,"
  Product and seller are absolutely awesome!"
R1270H1KRP2GCO,Terrible First Impressions,"Reviewed in the United States on October 26, 2018",2.0 out of 5 stars,"
  I haven't had a chance to review any footage yet, but that's because this camera makes it nearly impossible."
R1R19AHDGH3DZC,Does it work,"Reviewed in the United States on May 13, 2020",1.0 out of 5 stars,"
  Yes, it does work."
R3NLBV3WEYXNHV,First 24h review - 1 star,"Reviewed in the United States on August 21, 2019",1.0 out of 5 stars,"
  My camera came with almost no instructions. Just diagrams that helped me work out where the battery went."
R2RC78BF3T2OYH,GoPro Fusion Studio and Reframe Plug-in for Editing 360 footage,"Reviewed in the United States on May 14, 2020",4.0 out of 5 stars,"
  Two things to get started editing: GoPro Fusion Studio and Fusion Reframe Plug-in for Premiere. Capturing is pretty straight forward, two matching micro-SD cards, charged battery, camera mounted on the included selfie stick."
R257VWQXSSVBTB,Please buy a different camera. This one just doesn't work.,"Reviewed in the United States on January 24, 2021",1.0 out of 5 stars,"
  I don't understand these average reviews. This thing may record great video... I can't tell... The mobile phone software is so bad, connectivity between the phone and camera is so unreliable, in 8 months I've been uterly unable to produce anything useful off this camera. It's  failed in so many different ways, it's one frustration after another. I'll  screw around with it a few days, get frustrated and disappointed again, and ignore it for a few weeks before I try again."
R27IL5YY2JRP4J,unable to create decoders,"Reviewed in the United States on January 7, 2020",3.0 out of 5 stars,"
  Not bad at all considering its price, less than half of the price of GOPRO MAX."
R2MAVKX16ED087,Buggy stitching software renders great hardware useless.,"Reviewed in the United States on July 1, 2019",2.0 out of 5 stars,"
  Hardware and image quality are fantastic. Required stitching software is as buggy as everyone says.  I render on a desktop and rendering time is not a problem (10 min of footage takes ~6-7 min to cineform at full resolution). However the fusion software regularly crashes. Worse, the “recover project” option only results in more crashing. Therefore, user has to start project from scratch regularly. It is infuriating. The fusion desktop software is useless. Without the software, the hardware is useless.  The camera came out 1.5 years ago. If they haven’t fixed the software yet, they probably never will.
"
R3HUHSB4E4ETX0,"Great camera, easy to film with, not too hard to edit for the intermediate premiere user.","Reviewed in the United States on April 26, 2018",5.0 out of 5 stars,"
  I had little trouble getting started with this camera. It appears as though GoPro has fixed their bugs at initial launch with some firmware patches."
R2GIH51FHNG4A9,A Great 360 Camera with Some Usability Issues,"Reviewed in the United States on July 13, 2020",4.0 out of 5 stars,"
  The GoPro Fusion is a great choice if you want to save some money but are looking for a robust 360 camera. Because GoPro has not released proper desktop software for the Max, the Fusion is actually a great choice if you plan to work with 5.2K footage."
R2W12S8K5WCE9E,Great 360 camera!,"Reviewed in the United States on June 16, 2020",5.0 out of 5 stars,"
  Pretty amazing 360 camera if you have the computer to render the files. It uses 2 different micro sd cards, one for the front cam and one for the back cam. You have to download “fusion studio” which is a barley stable program. Crashes 1/3 of the time you use it. Anyway you have to render the two files together with that program and depending on your computer, can take forever."
RYEXT3QGGLNC8,Fusion Studio program on pc doesn't run,"Reviewed in the United States on May 20, 2020",1.0 out of 5 stars,"
  The Camera itself is alright but the most important part will be to be able to download and install and run the program Fusion Studio on your computer for possibly stitching easily your videos. Even with my i core7 1TB 16gb RAM I can't run the Fusion Studio app and I keep having error note while launching the app. I just returned my GOPRO Fusion and got refunded. I love the Camera and it accessories but the app sucks.
"
R3RZYPTZMVBZKH,Do not buy they - have no replacements under their warranty,"Reviewed in the United States on July 13, 2020",1.0 out of 5 stars,"
  So I buy it, it works for a couple of weeks, then will not turn on."
R3KJP3EAUYTY0X,Great 360 camera for a $200 price,"Reviewed in the United States on May 28, 2020",5.0 out of 5 stars,"
  Overall the camera is great it's a little big but not a big deal I have it mounted on my motorcycle on my left handlebar to record in front of me and behind me for when I go to work in case I get into an accident or something. The battery life seems to drain at 1% per minute give and take and I wish I had a separate battery to exchange them instead of charging up the single battery since it takes awhile also you have to use the original cable to connect to the computer if you want to transfer content not just charge it. Overall it works great for what it is I bought it for 200 like couldn't imagine paying more than that for what the camera does.
"
R3DD8DHG99XQZY,you have to be a computer genius to use,"Reviewed in the United States on May 8, 2020",1.0 out of 5 stars,"
  The biggest thing with the 360 camera is the editing, and through my experience it is very flawed. You need a laptop strong enough  to handle the incredibly awful experience of transporting your photos. The computer program crashes often. Takes hours to render any videos and they still look awful in the end."
R2CD2I27FD9RBK,Happy with it so far,"Reviewed in the United States on July 1, 2019",4.0 out of 5 stars,"
  I bought this after considering a Nikon KeyMission for some time. It got better reviews and was a higher megapixel rating so I hoped the image quality would be better as well. The movie quality is pretty good. Rendering the video though requires a pretty new or reasonably powerful computer. The software is slow to scan and not as intuitive as I'd like. YouTube videos helped me more than the GoPro website. The camera has a GPS so there is telemetry data available, however it appears the GoPro software won't make use of it. Hopefully that will change in the future. It's a shame to not be able to use that and stay in the GoPro software. I had to download a third party application and I'm still learning how to use that properly. Overall I'm happy with it, just wish the software was simpler to use.
"
RNPUO2ZWEAQ8S,"For $200, this is spectacular","Reviewed in the United States on August 3, 2020",5.0 out of 5 stars,"
   A great 360 degree camera. $200? Lots of features? It’s spectacular. The film stabilization works great and the end results are pretty good. The attached video is rendered without even using any stabilization/anti-shake software at all."
R2EUS2O48XJSV0,No 360 Camera Is Perfect,"Reviewed in the United States on August 30, 2018",5.0 out of 5 stars,"
  The Fusion has its flaws - like any other brand - but for what it's worth I'm happy, happy enough to buy a second one.  Shooting (and editing) in 360 is not only a learning curve, but introduces technical challenges in storage and rendering speed. The problems I see people run into can be experienced with any 360 camera. Overall I think the Fusion is in the top 3 for consumer level 360 cameras in the price range.
"
R3CT85JNSCP09B,Had difficulties,"Reviewed in the United States on May 24, 2020",3.0 out of 5 stars,"
  I've had GoPro's in the past but this one was just difficult. The app didn't want to pair with my Samsung Galaxy 9+, but it would with my husband's S9. There are so many 360 cameras on the market these days...and so many still entering the market, I think GoPro totally missed the mark on this one. I found it cumbersome and having to use 2 micro SD cards makes stitching, etc more difficult. I hope their next-gen 360 is better!
"
ROEPDOKFKT1LA,disappointed app,"Reviewed in the United States on September 1, 2018",1.0 out of 5 stars,"
  hello there,"
R3F4ZAPOBMER5H,Picture Quality Not Very Good,"Reviewed in the United States on June 18, 2020",3.0 out of 5 stars,"
  I was really excited to try this 360 camera.  The specs looked very good for this price point.  Unfortunately the picture quality was very grainy unless you use it outside on a very sunny day.  Also having to use 2 SD cards was a pain.  I have not seen any other 360 camera that you need to download your pictures from 2 SD cards and merge them.  I ended up returning the camera.
"
R27PV3C0TPF1ZE,"Awesome Deal IF you already have a FAST computer, definitely worth the pickup for $200","Reviewed in the United States on May 25, 2020",5.0 out of 5 stars,"
  A lot of people complaining about the software and rendering times but I haven't had any issues. I'm running a 3.4 ghz 6-core processor with a gtx1050ti 4GB and am able to render 1 minute footage in about 2 minutes."
R3FDEMEYB07E6F,Awesome camera to capture the best moments,"Reviewed in the United States on March 14, 2019",5.0 out of 5 stars,"
  The GoPro Fusion has allowed me to capture every moment snowboarding, skydiving, riding my motorcycle, and more. With helmet mounts and other mounts I bought to attach to whatever I'm doing, I've been able to take this camera everywhere and not be afraid and baby it too much. Customer support has been amazing, when I would have an issue with the camera they put in the time to help me and replace problem parts."
R3FJ4BJCBIASZP,Amazing camera!!!,"Reviewed in the United States on August 3, 2020",5.0 out of 5 stars,"
  This camera performs superbly, and the photo and video quality exceeded my expectations. One click captures everything! Using the GoPro app is the most convenient way to use the camera, but it's not a necessity. The basic features of the camera are so easy to use that my 7-year old niece uses it sufficiently, but it has advanced features for professionals who want more control of its functionality. Editing is separate from the actual product review, but it is very important when considering to buy this camera. If you have plans to use computer software, make sure that the computer meets the specifications required for rendering.
"
